"","YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"1",2024,1,1,0,18,60,2.1,NA,NA,NA,NA,NA,1018.6,13.5,14.5,NA,NA,NA
"2",2024,1,1,1,18,80,1,NA,NA,NA,NA,NA,1018.6,13.5,14.5,NA,NA,NA
"3",2024,1,1,2,18,100,1.5,NA,NA,NA,NA,NA,1018.9,13.7,14.5,NA,NA,NA
"4",2024,1,1,3,18,80,1.5,NA,NA,NA,NA,NA,1019.2,13.8,14.5,NA,NA,NA
"5",2024,1,1,4,18,60,1.5,NA,NA,NA,NA,NA,1019.2,13.8,14.5,NA,NA,NA
"6",2024,1,1,5,18,350,4.1,NA,NA,NA,NA,NA,1019.4,13.7,14.5,NA,NA,NA
"7",2024,1,1,6,18,20,4.1,NA,NA,NA,NA,NA,1019.3,13.1,14.5,NA,NA,NA
"8",2024,1,1,7,18,30,4.1,NA,NA,NA,NA,NA,1019.6,13,14.5,NA,NA,NA
"9",2024,1,1,8,18,60,2.6,NA,NA,NA,NA,NA,1019.5,12.9,14.5,NA,NA,NA
"10",2024,1,1,9,18,70,4.1,NA,NA,NA,NA,NA,1019.7,12.7,14.5,NA,NA,NA
"11",2024,1,1,10,18,70,4.6,NA,NA,NA,NA,NA,1020.1,12.6,14.5,NA,NA,NA
"12",2024,1,1,11,18,40,3.6,NA,NA,NA,NA,NA,1020.1,12.2,14.4,NA,NA,NA
"13",2024,1,1,12,18,30,2.6,NA,NA,NA,NA,NA,1020.1,12.2,14.5,NA,NA,NA
"14",2024,1,1,13,18,60,4.6,NA,NA,NA,NA,NA,1020.1,12.1,14.5,NA,NA,NA
"15",2024,1,1,14,18,90,6.2,NA,NA,NA,NA,NA,1020.5,12,14.4,NA,NA,NA
"16",2024,1,1,15,18,80,5.7,NA,NA,NA,NA,NA,1021,11.8,14.4,NA,NA,NA
"17",2024,1,1,16,18,80,6.7,NA,NA,NA,NA,NA,1021.4,11.5,14.4,NA,NA,NA
"18",2024,1,1,17,18,70,7.2,NA,NA,NA,NA,NA,1022.2,11.2,14.5,NA,NA,NA
"19",2024,1,1,18,18,70,3.1,NA,NA,NA,NA,NA,1023.1,11.2,14.4,NA,NA,NA
"20",2024,1,1,19,18,20,3.6,NA,NA,NA,NA,NA,1022.8,11.9,14.5,NA,NA,NA
"21",2024,1,1,20,18,50,5.1,NA,NA,NA,NA,NA,1021.4,12.9,14.5,NA,NA,NA
"22",2024,1,1,21,18,30,3.1,NA,NA,NA,NA,NA,1020.9,13.8,14.5,NA,NA,NA
"23",2024,1,1,22,18,330,2.6,NA,NA,NA,NA,NA,1020.8,14.1,14.6,NA,NA,NA
"24",2024,1,2,0,18,290,6.2,NA,NA,NA,NA,NA,1021.5,14.1,14.7,NA,NA,NA
"25",2024,1,2,1,18,290,4.1,NA,NA,NA,NA,NA,1021.6,13.9,14.6,NA,NA,NA
"26",2024,1,2,2,18,290,4.1,NA,NA,NA,NA,NA,1022,14.1,14.6,NA,NA,NA
"27",2024,1,2,3,18,290,3.6,NA,NA,NA,NA,NA,1022.4,14.1,14.6,NA,NA,NA
"28",2024,1,2,4,18,290,3.6,NA,NA,NA,NA,NA,1022.7,14.2,14.5,NA,NA,NA
"29",2024,1,2,5,18,310,3.1,NA,NA,NA,NA,NA,1023,14,14.5,NA,NA,NA
